frame_id,poi_id,owner_id,format,width_mm,height_mm,is_digital,facing,price_per_week_gbp
FRM_A01,POI_001,MO_001,DOOH,9600,4800,True,North,4200
FRM_A02,POI_001,MO_001,Classic 6-sheet,1676,1194,False,East,800
FRM_A03,POI_001,MO_002,DOOH,4800,2700,True,South,3100
FRM_B01,POI_002,MO_002,DOOH,9600,4800,True,West,3800
FRM_B02,POI_002,MO_003,Classic 48-sheet,6096,3048,False,North,1200
FRM_C01,POI_003,MO_001,DOOH,4800,2700,True,East,2900
FRM_C02,POI_003,MO_004,Classic 6-sheet,1676,1194,False,South,750
FRM_D01,POI_004,MO_002,DOOH,9600,4800,True,North,3500
FRM_D02,POI_004,MO_005,Classic 48-sheet,6096,3048,False,West,1100
FRM_E01,POI_005,MO_001,DOOH,4800,2700,True,East,2700
FRM_E02,POI_005,MO_003,Classic 6-sheet,1676,1194,False,North,700
FRM_F01,POI_006,MO_004,DOOH,9600,4800,True,South,3200
FRM_G01,POI_007,MO_002,DOOH,9600,4800,True,East,4500
FRM_G02,POI_007,MO_006,DOOH,4800,2700,True,North,2800
FRM_H01,POI_008,MO_001,DOOH,4800,2700,True,West,2600
FRM_I01,POI_009,MO_007,Classic 48-sheet,6096,3048,False,South,900
FRM_I02,POI_009,MO_008,DOOH,9600,4800,True,North,4100
FRM_J01,POI_010,MO_005,Classic 6-sheet,1676,1194,False,East,650
FRM_K01,POI_011,MO_003,DOOH,4800,2700,True,West,2200
FRM_L01,POI_999,MO_004,Classic 48-sheet,6096,3048,False,North,950
FRM_M01,POI_013,MO_001,DOOH,9600,4800,True,South,3900
FRM_N01,POI_014,MO_002,DOOH,4800,2700,True,East,2500
FRM_O01,POI_015,MO_006,Classic 6-sheet,1676,1194,False,West,600
FRM_P01,POI_016,MO_007,DOOH,9600,4800,True,North,3600
FRM_Q01,POI_019,MO_001,DOOH,4800,2700,True,South,2400
FRM_R01,POI_020,MO_003,Classic 6-sheet,1676,1194,False,East,700
FRM_S01,POI_012,MO_008,DOOH,4800,2700,True,West,2100
FRM_T01,POI_017,MO_005,Classic 48-sheet,6096,3048,False,North,1050
FRM_U01,POI_018,MO_009,DOOH,9600,4800,True,East,3300
FRM_V01,POI_003,MO_010,Classic 6-sheet,1676,1194,False,South,680
